date;vac_statut;age;nb_PCR;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;effectif J-7
2021-07-21;Ensemble;[0,19];45212;3734;13;6;5;4;16124004
2021-07-21;Ensemble;[20,39];103611;9828;60;49;10;10;15805698
2021-07-21;Ensemble;[40,59];65692;3008;64;47;23;20;17386935
2021-07-21;Ensemble;"[80;+]";13420;242;46;35;9;7;4132668
2021-07-22;Ensemble;[20,39];126534;9855;57;37;11;10;15805698
2021-07-22;Ensemble;[40,59];77836;3321;58;43;29;21;17386935
2021-07-23;Ensemble;[60,79];37104;1062;89;68;17;16;13957936
2021-07-24;Ensemble;[0,19];37557;2314;19;10;0;0;16124004
2021-07-24;Ensemble;[20,39];70701;4918;67;58;13;11;15805698
2021-07-25;Ensemble;[40,59];12332;587;77;57;34;33;17386935
2021-07-26;Ensemble;[0,19];56296;6083;14;8;0;0;16124004
2021-07-26;Ensemble;[20,39];120587;13707;79;65;14;12;15805698
2021-07-26;Ensemble;[60,79];46708;1809;103;71;30;24;13957936
2021-07-26;Ensemble;"[80;+]";18886;472;70;49;3;2;4132668
2021-07-27;Ensemble;[40,59];70990;4597;100;66;35;27;17386935
2021-07-27;Ensemble;"[80;+]";16391;354;91;65;3;3;4132668
2021-07-28;Ensemble;[0,19];46663;4560;21;10;4;2;16124004
2021-07-28;Ensemble;[20,39];104831;10630;89;58;13;11;15805698
2021-07-29;Ensemble;[0,19];56880;4534;16;9;2;1;16124004
2021-07-29;Ensemble;[60,79];28474;1426;139;106;60;47;13957936
2021-07-30;Ensemble;[0,19];74502;4781;19;7;3;3;16124004
2021-07-30;Ensemble;[40,59];101511;4570;131;99;59;42;17386935
2021-07-31;Ensemble;[20,39];76428;4702;100;81;15;12;15805698
2021-07-31;Ensemble;[40,59];52814;2380;117;85;36;27;17386935
2021-08-01;Ensemble;[0,19];9701;641;26;10;2;1;16124004
2021-08-01;Ensemble;[20,39];19821;1355;84;57;20;17;15805698
2021-08-01;Ensemble;"[80;+]";4057;116;49;35;6;4;4132668
2021-08-02;Ensemble;[60,79];44032;2479;147;111;67;52;13957936
2021-08-02;Ensemble;"[80;+]";18510;699;115;94;12;9;4132668
2021-08-03;Ensemble;"[80;+]";17033;651;109;84;8;7;4132668
2021-08-05;Ensemble;[0,19];49272;4647;28;15;4;3;16124004
2021-08-05;Ensemble;[40,59];73814;5140;158;130;56;42;17386935
2021-08-06;Ensemble;[0,19];59050;4795;24;6;3;3;16124004
2021-08-06;Ensemble;[40,59];90030;5377;165;122;68;52;17386935
2021-08-07;Ensemble;[20,39];73937;4773;102;77;19;11;15805698
2021-08-07;Ensemble;[40,59];50028;2706;148;112;62;48;17386935
2021-08-07;Ensemble;[60,79];23128;1073;155;110;59;50;13957936
2021-08-08;Ensemble;[40,59];13064;812;135;101;59;43;17386935
2021-08-10;Ensemble;[0,19];41015;5375;29;7;2;0;16124004
2021-08-10;Ensemble;[20,39];115210;10100;123;85;25;19;15805698
2021-08-11;Ensemble;[40,59];71694;5430;211;142;65;49;17386935
2021-08-11;Ensemble;[60,79];34728;2286;220;158;86;73;13957936
2021-08-11;Ensemble;"[80;+]";16616;731;118;92;14;11;4132668
2021-08-12;Ensemble;[20,39];126283;8871;110;84;29;19;15805698
2021-08-12;Ensemble;"[80;+]";15704;716;126;84;13;10;4132668
2021-08-13;Ensemble;[0,19];54843;4922;36;21;4;0;16124004
2021-08-13;Ensemble;[20,39];148881;8757;122;92;26;22;15805698
2021-08-13;Ensemble;[40,59];93900;5304;234;161;56;43;17386935
2021-08-13;Ensemble;"[80;+]";16179;752;125;94;8;8;4132668
2021-08-15;Ensemble;[0,19];6385;641;33;10;2;1;16124004
2021-08-15;Ensemble;[20,39];17757;1294;78;54;20;15;15805698
2021-08-15;Ensemble;[60,79];6888;373;177;119;49;36;13957936
2021-08-16;Ensemble;[40,59];89184;6993;200;128;72;51;17386935
2021-08-16;Ensemble;"[80;+]";21035;946;122;86;17;10;4132668
2021-08-17;Ensemble;[0,19];35048;4853;26;8;1;0;16124004
2021-08-17;Ensemble;[40,59];68324;5175;193;142;58;36;17386935
2021-08-18;Ensemble;[20,39];92627;7380;120;83;19;18;15805698
2021-08-19;Ensemble;[60,79];30613;1982;218;159;79;65;13957936
2021-08-21;Ensemble;[20,39];59970;3689;82;56;38;24;15805698
2021-08-21;Ensemble;"[80;+]";8944;312;100;68;4;2;4132668
2021-08-22;Ensemble;[40,59];9689;638;171;123;57;43;17386935
2021-05-31;Non-vaccinés;[0,19];50927;2614;6;1;0;0;15922691
2021-05-31;Non-vaccinés;[40,59];44884;2540;117;82;35;25;10244275
2021-05-31;Non-vaccinés;[60,79];29179;851;100;66;42;31;3720955
2021-06-01;Non-vaccinés;[20,39];49628;2314;52;37;5;5;12679326
2021-06-01;Non-vaccinés;[40,59];35774;1708;113;70;34;25;10063513
2021-06-02;Non-vaccinés;[60,79];20144;539;95;71;26;22;3612136
2021-06-03;Non-vaccinés;[20,39];59039;2117;51;38;11;7;12372114
2021-06-03;Non-vaccinés;[60,79];18937;522;75;54;26;18;3548134
2021-06-04;Non-vaccinés;[0,19];58659;1835;15;7;1;0;15860670
2021-06-04;Non-vaccinés;[60,79];24860;517;82;57;26;21;3489026
2021-06-04;Non-vaccinés;"[80;+]";6941;144;48;36;3;2;964434
2021-06-05;Non-vaccinés;[60,79];15172;278;56;42;23;14;3462521
2021-06-05;Non-vaccinés;"[80;+]";4238;97;25;15;4;3;960967
2021-06-06;Non-vaccinés;[40,59];5341;189;50;29;15;11;9307517
2021-06-06;Non-vaccinés;[60,79];4046;119;38;25;20;18;3456631
2021-06-06;Non-vaccinés;"[80;+]";2222;60;29;20;6;3;960328
2021-06-07;Non-vaccinés;[20,39];53654;2263;49;38;2;2;11909717
2021-06-07;Non-vaccinés;[60,79];27713;571;76;51;31;27;3417470
2021-06-08;Non-vaccinés;[0,19];40299;1249;12;9;0;0;15802369
2021-06-08;Non-vaccinés;[20,39];44499;1485;41;37;11;7;11737776
2021-06-08;Non-vaccinés;[40,59];32343;1089;63;50;17;13;8989269
2021-06-08;Non-vaccinés;[60,79];20712;403;66;49;31;24;3365261
2021-06-08;Non-vaccinés;"[80;+]";7177;146;44;31;3;2;947919
2021-06-09;Non-vaccinés;"[80;+]";6406;110;33;24;3;1;941419
2021-06-10;Non-vaccinés;[60,79];16761;306;52;33;28;21;3268854
2021-06-10;Non-vaccinés;"[80;+]";5469;94;38;32;2;1;932850
2021-06-11;Non-vaccinés;[20,39];55058;1330;27;20;4;3;11183079
2021-06-12;Non-vaccinés;[20,39];28641;668;32;25;6;3;11047962
2021-06-13;Non-vaccinés;[0,19];3356;85;8;5;1;0;15705971
2021-06-13;Non-vaccinés;[20,39];8109;162;28;19;3;2;10979491
2021-06-14;Non-vaccinés;[0,19];33179;849;3;2;0;0;15686806
2021-06-14;Non-vaccinés;[40,59];35428;973;58;41;16;12;8167218
2021-06-15;Non-vaccinés;[0,19];29831;639;13;9;3;1;15665454
2021-06-15;Non-vaccinés;[40,59];27282;639;44;33;15;10;8023867
2021-06-15;Non-vaccinés;[60,79];19216;281;49;38;11;8;3118801
2021-06-15;Non-vaccinés;"[80;+]";6543;101;24;17;1;1;910382
2021-06-16;Non-vaccinés;[40,59];28748;576;38;28;10;8;7882382
2021-06-17;Non-vaccinés;[40,59];31348;526;37;23;12;7;7738008
2021-06-19;Non-vaccinés;[60,79];13913;117;22;16;14;13;2978511
2021-06-20;Non-vaccinés;[40,59];5174;90;26;21;5;5;7452112
2021-06-21;Non-vaccinés;[20,39];43794;876;28;21;2;1;9834035
2021-06-21;Non-vaccinés;[40,59];33248;642;27;19;14;10;7369626
2021-06-21;Non-vaccinés;"[80;+]";7359;90;18;14;3;2;884225
2021-06-22;Non-vaccinés;[40,59];25943;474;28;18;10;8;7273454
2021-06-22;Non-vaccinés;[60,79];17692;211;32;23;7;1;2918294
2021-06-23;Non-vaccinés;[20,39];38470;682;19;9;2;1;9597804
2021-06-23;Non-vaccinés;[60,79];15275;174;28;20;10;8;2891771
2021-06-23;Non-vaccinés;"[80;+]";5266;68;10;7;2;2;874835
2021-06-24;Non-vaccinés;[20,39];44438;657;21;17;4;3;9472539
2021-06-24;Non-vaccinés;"[80;+]";4522;62;15;12;1;1;869300
2021-06-25;Non-vaccinés;[0,19];34686;472;5;3;1;1;15301833
2021-06-26;Non-vaccinés;[0,19];19066;235;5;4;1;1;15236567
2021-06-26;Non-vaccinés;[20,39];28155;333;14;13;0;0;9279476
2021-06-26;Non-vaccinés;[40,59];20480;223;22;13;8;8;6921192
2021-06-27;Non-vaccinés;[60,79];3588;43;16;11;4;3;2815486
2021-06-27;Non-vaccinés;"[80;+]";1941;29;7;5;2;1;861911
2021-06-28;Non-vaccinés;[20,39];45233;853;21;17;2;2;9175706
2021-06-28;Non-vaccinés;[60,79];23505;228;31;20;9;6;2798760
2021-06-28;Non-vaccinés;"[80;+]";7198;70;15;13;4;2;859378
2021-06-29;Non-vaccinés;"[80;+]";5831;67;20;11;1;1;855621
2021-06-30;Non-vaccinés;[40,59];29609;460;20;16;7;4;6721990
2021-06-30;Non-vaccinés;[60,79];14626;166;25;17;10;7;2756545
2021-07-01;Non-vaccinés;[0,19];41389;461;2;1;1;0;15010440
2021-07-01;Non-vaccinés;[40,59];31882;401;19;11;5;3;6651907
2021-07-02;Non-vaccinés;[0,19];47172;540;5;2;1;1;14962219
2021-07-02;Non-vaccinés;[20,39];53785;988;20;16;2;2;8842166
2021-07-02;Non-vaccinés;[60,79];18106;195;25;15;7;4;2708916
2021-07-03;Non-vaccinés;[0,19];28930;330;1;0;0;0;14921966
2021-07-03;Non-vaccinés;[40,59];22666;250;9;7;4;4;6538972
2021-07-06;Non-vaccinés;[0,19];38374;701;10;5;0;0;14830590
2021-07-07;Non-vaccinés;[0,19];41488;731;7;4;3;1;14769044
2021-07-07;Non-vaccinés;[20,39];46618;1505;19;12;4;1;8578704
2021-07-07;Non-vaccinés;[40,59];32815;619;18;17;7;6;6377687
2021-07-08;Non-vaccinés;"[80;+]";4360;39;10;8;0;0;828998
2021-07-09;Non-vaccinés;[0,19];56209;878;3;2;3;2;14668893
2021-07-10;Non-vaccinés;[20,39];33033;853;16;14;2;1;8372938
2021-07-10;Non-vaccinés;[60,79];10993;123;18;12;6;6;2586176
2021-07-10;Non-vaccinés;"[80;+]";3452;36;7;5;3;2;823392
2021-07-11;Non-vaccinés;[0,19];7471;168;1;0;1;1;14617919
2021-07-11;Non-vaccinés;[20,39];9472;321;17;14;1;1;8351622
2021-07-11;Non-vaccinés;[40,59];6321;140;22;21;9;7;6190360
2021-07-12;Non-vaccinés;[60,79];17755;286;25;19;12;10;2566995
2021-07-12;Non-vaccinés;"[80;+]";5798;74;12;10;3;1;820690
2021-07-13;Non-vaccinés;"[80;+]";5781;68;16;13;2;1;817138
2021-07-14;Non-vaccinés;[0,19];8917;278;7;3;2;2;14486443
2021-07-16;Non-vaccinés;[20,39];66107;4197;33;24;4;3;7994946
2021-07-17;Non-vaccinés;[0,19];29012;1137;7;4;3;2;14361718
2021-07-17;Non-vaccinés;[20,39];35305;2375;36;30;5;4;7940766
2021-07-18;Non-vaccinés;[40,59];6334;288;38;32;16;11;5823557
2021-07-18;Non-vaccinés;"[80;+]";1870;33;11;5;2;2;802963
2021-07-19;Non-vaccinés;[60,79];21717;715;47;36;23;19;2442789
2021-07-20;Non-vaccinés;[0,19];34863;3055;9;4;1;1;14254835
2021-07-21;Non-vaccinés;[20,39];68119;7621;56;47;8;8;7663403
2021-07-21;Non-vaccinés;[60,79];15993;631;58;44;19;12;2406500
2021-07-22;Non-vaccinés;[60,79];15787;666;50;42;15;14;2373103
2021-07-23;Non-vaccinés;[0,19];53065;3623;10;6;1;1;14076392
2021-07-23;Non-vaccinés;[20,39];95491;7324;63;45;11;9;7371565
2021-07-23;Non-vaccinés;[60,79];19712;702;73;55;16;15;2336417
2021-07-23;Non-vaccinés;"[80;+]";5871;138;23;14;3;2;785092
2021-07-24;Non-vaccinés;[20,39];45497;3763;65;56;12;10;7261967
2021-07-25;Non-vaccinés;[20,39];11816;1236;70;52;13;9;7210174
2021-07-25;Non-vaccinés;[40,59];7175;448;70;51;28;27;5338575
2021-07-25;Non-vaccinés;"[80;+]";1936;51;35;24;2;1;782247
2021-07-26;Non-vaccinés;[20,39];78478;10768;68;54;14;12;7090409
2021-07-27;Non-vaccinés;[40,59];41759;3489;85;54;32;25;5156772
2021-07-28;Non-vaccinés;"[80;+]";6611;226;53;37;4;2;769529
2021-07-29;Non-vaccinés;[20,39];76564;7726;98;77;24;18;6581140
2021-07-29;Non-vaccinés;[60,79];15256;923;108;78;55;44;2185542
2021-07-30;Non-vaccinés;"[80;+]";6186;203;55;34;7;4;758123
2021-07-31;Non-vaccinés;[60,79];10890;523;111;82;42;31;2128028
2021-08-01;Non-vaccinés;[60,79];3338;211;77;52;33;21;2122640
2021-08-01;Non-vaccinés;"[80;+]";1737;66;34;22;6;4;754998
2021-08-03;Non-vaccinés;[0,19];34598;4630;27;11;3;1;13399321
2021-08-03;Non-vaccinés;[20,39];61057;7920;109;76;21;16;5876013
2021-08-03;Non-vaccinés;[40,59];39541;4151;167;119;43;34;4457864
2021-08-04;Non-vaccinés;[0,19];32930;4151;26;16;3;3;13306466
2021-08-04;Non-vaccinés;[60,79];15926;1202;135;92;48;38;2018050
2021-08-05;Non-vaccinés;[60,79];15082;1173;151;100;52;44;1975645
2021-08-05;Non-vaccinés;"[80;+]";6255;303;75;50;9;4;733058
2021-08-06;Non-vaccinés;"[80;+]";6533;300;70;53;10;8;726611
2021-08-08;Non-vaccinés;[20,39];12481;1095;61;48;18;13;5140279
2021-08-08;Non-vaccinés;[40,59];7454;584;107;77;49;35;3951626
2021-08-08;Non-vaccinés;"[80;+]";1821;97;57;33;8;6;723045
2021-08-10;Non-vaccinés;[0,19];31251;4765;27;6;2;0;12865456
2021-08-10;Non-vaccinés;[40,59];45286;4259;171;113;43;34;3755926
2021-08-10;Non-vaccinés;[60,79];20980;1543;189;125;61;43;1849992
2021-08-11;Non-vaccinés;[20,39];66523;7137;119;91;13;13;4729960
2021-08-11;Non-vaccinés;[40,59];42032;3892;183;116;59;44;3652533
2021-08-12;Non-vaccinés;[0,19];33058;4258;39;15;5;1;12692612
2021-08-12;Non-vaccinés;[20,39];74124;6720;100;76;27;18;4595905
2021-08-12;Non-vaccinés;[60,79];17052;1339;176;108;48;34;1782472
2021-08-14;Non-vaccinés;[60,79];13156;685;145;89;55;37;1734368
2021-08-15;Non-vaccinés;"[80;+]";1816;95;85;47;4;2;692966
2021-08-16;Non-vaccinés;[60,79];25727;1819;206;142;59;38;1708989
2021-08-17;Non-vaccinés;[40,59];38734;3620;161;116;50;32;3217585
2021-08-17;Non-vaccinés;"[80;+]";8346;431;91;59;5;4;684199
2021-08-18;Non-vaccinés;[0,19];24528;3944;28;14;2;2;12364230
2021-08-18;Non-vaccinés;[20,39];54466;5553;105;68;18;17;4039128
2021-08-18;Non-vaccinés;[60,79];17416;1142;191;123;57;45;1654046
2021-08-19;Non-vaccinés;[60,79];16338;1219;161;105;63;50;1626346
2021-08-20;Non-vaccinés;"[80;+]";6527;366;68;41;4;4;669119
2021-08-21;Non-vaccinés;[20,39];34862;2717;72;47;35;21;3790075
2021-08-22;Non-vaccinés;"[80;+]";1723;103;66;42;5;5;666843
2021-05-31;Primo dose efficace;[0,19];295;6;0;0;0;0;30337
2021-05-31;Primo dose efficace;[40,59];9542;172;8;7;0;0;2510404
2021-05-31;Primo dose efficace;[60,79];11674;153;16;13;2;1;4502201
2021-06-01;Primo dose efficace;[20,39];4169;40;0;0;0;0;740795
2021-06-01;Primo dose efficace;[60,79];8720;88;6;6;4;4;4491636
2021-06-02;Primo dose efficace;[40,59];8652;90;2;2;1;1;2761136
2021-06-02;Primo dose efficace;"[80;+]";1423;22;6;5;2;0;491230
2021-06-03;Primo dose efficace;[20,39];6779;48;0;0;0;0;867153
2021-06-03;Primo dose efficace;[40,59];9651;100;3;1;2;2;2917102
2021-06-04;Primo dose efficace;"[80;+]";1348;29;8;8;0;0;483758
2021-06-05;Primo dose efficace;[40,59];6351;66;5;5;1;1;3217827
2021-06-05;Primo dose efficace;[60,79];6005;31;2;2;2;2;4505430
2021-06-06;Primo dose efficace;[20,39];964;10;1;1;1;0;1131462
2021-06-06;Primo dose efficace;[60,79];1323;10;4;4;1;1;4542406
2021-06-07;Primo dose efficace;[0,19];495;6;0;0;0;0;75557
2021-06-07;Primo dose efficace;"[80;+]";1851;24;4;4;0;0;491511
2021-06-08;Primo dose efficace;[0,19];361;2;0;0;0;0;82994
2021-06-08;Primo dose efficace;[40,59];9291;72;5;5;0;0;3622972
2021-06-08;Primo dose efficace;[60,79];7747;52;6;6;2;2;4490780
2021-06-09;Primo dose efficace;[0,19];489;8;0;0;0;0;92578
2021-06-11;Primo dose efficace;[60,79];7978;51;1;1;1;1;4326980
2021-06-12;Primo dose efficace;[20,39];4588;26;0;0;0;0;1716116
2021-06-12;Primo dose efficace;[40,59];6647;44;4;3;1;0;4246589
2021-06-13;Primo dose efficace;[60,79];1123;6;2;2;1;0;4308254
2021-06-14;Primo dose efficace;[0,19];586;4;0;0;0;0;151327
2021-06-14;Primo dose efficace;[60,79];8746;46;4;4;0;0;4195693
2021-06-15;Primo dose efficace;[20,39];7207;36;0;0;0;0;1937710
2021-06-15;Primo dose efficace;"[80;+]";1229;12;1;1;0;0;446607
2021-06-16;Primo dose efficace;[0,19];615;8;0;0;0;0;173562
2021-06-17;Primo dose efficace;"[80;+]";898;15;4;3;0;0;430472
2021-06-18;Primo dose efficace;[0,19];973;7;0;0;0;0;201216
2021-06-18;Primo dose efficace;[40,59];12402;60;2;2;0;0;4759278
2021-06-18;Primo dose efficace;"[80;+]";979;6;3;1;0;0;421287
2021-06-19;Primo dose efficace;[40,59];7144;35;2;2;1;1;4871738
2021-06-20;Primo dose efficace;[60,79];917;9;4;4;0;0;3675018
2021-06-21;Primo dose efficace;[20,39];10045;50;1;1;0;0;2519423
2021-06-22;Primo dose efficace;[20,39];8064;42;1;1;0;0;2628433
2021-06-22;Primo dose efficace;"[80;+]";1035;8;4;2;0;0;395659
2021-06-23;Primo dose efficace;[20,39];9853;35;0;0;1;0;2758813
2021-06-25;Primo dose efficace;"[80;+]";856;6;3;3;0;0;366361
2021-06-26;Primo dose efficace;[0,19];778;3;0;0;0;0;320883
2021-06-26;Primo dose efficace;[60,79];2975;12;1;1;0;0;2959504
2021-06-27;Primo dose efficace;[40,59];1424;7;0;0;0;0;5339911
2021-06-28;Primo dose efficace;[20,39];10815;97;1;1;0;0;3293913
2021-06-28;Primo dose efficace;"[80;+]";1178;16;1;1;1;1;351594
2021-06-30;Primo dose efficace;[20,39];12132;94;0;0;1;1;3485911
2021-06-30;Primo dose efficace;[40,59];9362;51;2;2;0;0;5216155
2021-06-30;Primo dose efficace;[60,79];2977;23;2;2;0;0;2536929
2021-07-01;Primo dose efficace;[0,19];2203;12;0;0;0;0;397101
2021-07-01;Primo dose efficace;[40,59];10182;60;0;0;0;0;5203530
2021-07-01;Primo dose efficace;[60,79];2440;19;4;3;1;1;2408674
2021-07-01;Primo dose efficace;"[80;+]";612;4;1;1;0;0;317783
2021-07-02;Primo dose efficace;[0,19];2981;20;0;0;0;0;413933
2021-07-02;Primo dose efficace;[20,39];15053;118;0;0;0;0;3668190
2021-07-04;Primo dose efficace;[20,39];1894;18;0;0;0;0;3853161
2021-07-04;Primo dose efficace;[40,59];1392;9;0;0;0;0;5183134
2021-07-05;Primo dose efficace;[20,39];12205;188;0;0;1;1;3818366
2021-07-05;Primo dose efficace;[60,79];3811;29;4;3;0;0;2118776
2021-07-05;Primo dose efficace;"[80;+]";1019;2;0;0;0;0;295147
2021-07-07;Primo dose efficace;[20,39];12136;225;0;0;0;0;3826206
2021-07-07;Primo dose efficace;[40,59];8422;79;2;2;0;0;4755256
2021-07-07;Primo dose efficace;[60,79];2247;15;0;0;0;0;1918118
2021-07-08;Primo dose efficace;[60,79];1969;16;2;2;0;0;1832316
2021-07-08;Primo dose efficace;"[80;+]";533;8;2;2;0;0;268144
2021-07-09;Primo dose efficace;[0,19];5429;66;0;0;0;0;586956
2021-07-09;Primo dose efficace;[40,59];10014;79;0;0;0;0;4497392
2021-07-10;Primo dose efficace;[60,79];1576;5;0;0;0;0;1686234
2021-07-10;Primo dose efficace;"[80;+]";448;5;2;2;0;0;256727
2021-07-12;Primo dose efficace;[0,19];4068;97;1;1;0;0;703355
2021-07-12;Primo dose efficace;[40,59];8638;163;2;2;0;0;4167535
2021-07-13;Primo dose efficace;[0,19];3901;90;1;0;0;0;728227
2021-07-13;Primo dose efficace;"[80;+]";756;12;1;1;0;0;239008
2021-07-14;Primo dose efficace;[0,19];906;37;0;0;0;0;752567
2021-07-14;Primo dose efficace;[40,59];1419;28;1;1;0;0;3807673
2021-07-15;Primo dose efficace;[0,19];5567;144;0;0;0;0;797363
2021-07-15;Primo dose efficace;[20,39];14004;519;0;0;0;0;3503556
2021-07-15;Primo dose efficace;[40,59];8016;144;0;0;0;0;3658995
2021-07-15;Primo dose efficace;"[80;+]";612;3;1;1;1;1;223719
2021-07-16;Primo dose efficace;[0,19];5567;138;0;0;0;0;824242
2021-07-17;Primo dose efficace;[20,39];6627;265;1;1;0;0;3375222
2021-07-18;Primo dose efficace;"[80;+]";217;2;1;1;0;0;212879
2021-07-19;Primo dose efficace;[0,19];4218;230;0;0;1;0;876528
2021-07-19;Primo dose efficace;"[80;+]";796;6;1;1;1;1;206072
2021-07-20;Primo dose efficace;[0,19];3623;189;1;1;0;0;889890
2021-07-20;Primo dose efficace;[20,39];10843;747;2;1;0;0;3133678
2021-07-20;Primo dose efficace;"[80;+]";664;4;1;1;0;0;197824
2021-07-22;Primo dose efficace;[20,39];14843;738;0;0;0;0;2953629
2021-07-22;Primo dose efficace;"[80;+]";618;6;2;2;0;0;185454
2021-07-23;Primo dose efficace;[0,19];6078;239;0;0;0;0;948431
2021-07-25;Primo dose efficace;[0,19];613;32;1;1;0;0;983010
2021-07-25;Primo dose efficace;"[80;+]";198;4;2;2;1;1;177828
2021-07-26;Primo dose efficace;[40,59];6411;297;1;0;3;2;2291715
2021-07-27;Primo dose efficace;[0,19];3398;206;0;0;0;0;953177
2021-07-27;Primo dose efficace;[40,59];4993;229;3;2;0;0;2128056
2021-07-27;Primo dose efficace;"[80;+]";687;7;0;0;0;0;165683
2021-07-28;Primo dose efficace;[60,79];1234;49;3;3;1;1;753371
2021-07-29;Primo dose efficace;[40,59];5566;196;2;1;1;0;1988087
2021-07-29;Primo dose efficace;[60,79];1148;32;4;4;1;1;707579
2021-07-29;Primo dose efficace;"[80;+]";498;9;2;2;0;0;161393
2021-07-30;Primo dose efficace;[0,19];6261;194;2;1;0;0;962372
2021-07-30;Primo dose efficace;"[80;+]";567;10;2;1;0;0;156712
2021-07-31;Primo dose efficace;[0,19];3350;90;0;0;0;0;965782
2021-07-31;Primo dose efficace;[20,39];6664;252;0;0;1;1;2091715
2021-07-31;Primo dose efficace;[60,79];859;18;3;3;0;0;656809
2021-08-01;Primo dose efficace;[40,59];744;29;3;3;1;0;1799216
2021-08-01;Primo dose efficace;[60,79];257;9;1;1;3;3;658753
2021-08-02;Primo dose efficace;[40,59];5517;297;5;4;2;2;1666320
2021-08-02;Primo dose efficace;[60,79];1570;51;5;5;0;0;620638
2021-08-03;Primo dose efficace;[60,79];1222;49;4;4;5;5;580366
2021-08-04;Primo dose efficace;[40,59];4157;219;2;1;1;1;1482025
2021-08-05;Primo dose efficace;[20,39];11227;455;1;1;0;0;1642557
2021-08-05;Primo dose efficace;"[80;+]";504;15;5;4;0;0;139306
2021-08-06;Primo dose efficace;[20,39];16220;511;4;4;0;0;1598381
2021-08-06;Primo dose efficace;[40,59];7515;202;8;7;2;2;1327358
2021-08-07;Primo dose efficace;[0,19];2807;82;0;0;0;0;901759
2021-08-07;Primo dose efficace;"[80;+]";329;15;3;3;0;0;136949
2021-08-08;Primo dose efficace;[60,79];274;7;2;1;4;3;505188
2021-08-10;Primo dose efficace;[0,19];3602;176;0;0;0;0;880086
2021-08-10;Primo dose efficace;[40,59];6907;234;5;4;3;3;1245355
2021-08-10;Primo dose efficace;[60,79];1653;57;4;3;1;1;460320
2021-08-10;Primo dose efficace;"[80;+]";638;21;3;3;0;0;131805
2021-08-11;Primo dose efficace;[20,39];14015;507;1;1;0;0;1607566
2021-08-11;Primo dose efficace;"[80;+]";593;11;3;3;0;0;130399
2021-08-12;Primo dose efficace;[60,79];1511;71;5;5;1;1;440621
2021-08-13;Primo dose efficace;[20,39];24246;582;1;1;1;1;1698919
2021-08-13;Primo dose efficace;[60,79];1855;65;4;4;2;2;431929
2021-08-13;Primo dose efficace;"[80;+]";582;12;1;1;0;0;126804
2021-08-14;Primo dose efficace;[0,19];3247;109;0;0;0;0;938967
2021-08-14;Primo dose efficace;"[80;+]";353;12;2;2;1;1;128491
2021-08-16;Primo dose efficace;[0,19];4676;224;0;0;0;0;938444
2021-08-17;Primo dose efficace;[0,19];3688;184;0;0;0;0;949098
2021-08-17;Primo dose efficace;[40,59];7460;291;12;9;2;2;1300240
2021-08-17;Primo dose efficace;[60,79];1747;58;13;9;2;2;431297
2021-08-18;Primo dose efficace;[0,19];3435;160;1;1;0;0;980023
2021-08-18;Primo dose efficace;[20,39];13558;506;4;4;0;0;1950536
2021-08-19;Primo dose efficace;[60,79];1590;55;10;9;0;0;443886
2021-08-20;Primo dose efficace;[60,79];1930;60;3;3;2;2;449823
2021-08-20;Primo dose efficace;"[80;+]";456;13;4;2;0;0;128698
2021-08-21;Primo dose efficace;[40,59];5145;144;6;5;5;5;1470645
2021-08-21;Primo dose efficace;[60,79];1150;35;7;7;0;0;466064
2021-08-22;Primo dose efficace;[20,39];1754;62;4;4;0;0;2234356
2021-05-31;Primo dose récente;[0,19];619;36;0;0;0;0;149169
2021-05-31;Primo dose récente;[40,59];5384;291;7;7;2;2;2752922
2021-06-01;Primo dose récente;[20,39];4844;187;3;2;1;0;1639706
2021-06-02;Primo dose récente;[20,39];5839;157;4;4;0;0;1711770
2021-06-02;Primo dose récente;[60,79];1016;25;7;6;4;4;859933
2021-06-03;Primo dose récente;[60,79];862;27;4;4;1;1;832344
2021-06-04;Primo dose récente;[40,59];5056;126;6;6;3;2;2762144
2021-06-05;Primo dose récente;[0,19];383;8;0;0;0;0;194185
2021-06-05;Primo dose récente;[20,39];3285;70;0;0;1;1;1835405
2021-06-05;Primo dose récente;[40,59];2585;63;2;2;1;1;2673129
2021-06-05;Primo dose récente;"[80;+]";132;1;0;0;0;0;93077
2021-06-06;Primo dose récente;[0,19];93;1;0;0;0;0;189411
2021-06-07;Primo dose récente;[40,59];4519;152;4;4;0;0;2551866
2021-06-09;Primo dose récente;[0,19];598;7;0;0;0;0;219960
2021-06-09;Primo dose récente;[40,59];3522;71;5;3;0;0;2477951
2021-06-11;Primo dose récente;[40,59];4125;56;3;2;1;1;2368206
2021-06-12;Primo dose récente;[60,79];590;8;1;1;1;1;587168
2021-06-13;Primo dose récente;[0,19];82;2;0;0;0;0;236148
2021-06-13;Primo dose récente;[60,79];144;2;1;0;0;0;563635
2021-06-15;Primo dose récente;[0,19];450;4;0;0;0;0;256103
2021-06-15;Primo dose récente;[40,59];2721;45;2;1;0;0;2205476
2021-06-16;Primo dose récente;[20,39];5570;65;0;0;0;0;2188652
2021-06-16;Primo dose récente;[40,59];2793;35;2;2;0;0;2165285
2021-06-16;Primo dose récente;[60,79];753;7;1;0;0;0;575989
2021-06-17;Primo dose récente;[20,39];6972;50;2;2;0;0;2219627
